pair,type,enrichment_ratio_r1_d2,enrichment_ratio_r1_d5,enrichment_ratio_r1_d10,enrichment_ratio_r2_d2,enrichment_ratio_r2_d5,enrichment_ratio_r2_d10,enrichment_fraction_r1_d2,enrichment_fraction_r1_d5,enrichment_fraction_r1_d10,enrichment_fraction_r2_d2,enrichment_fraction_r2_d5,enrichment_fraction_r2_d10,bound_r1_d2,bound_r1_d5,bound_r1_d10,bound_r2_d2,bound_r2_d5,bound_r2_d10,unbound_r1_d2,unbound_r1_d5,unbound_r1_d10,unbound_r2_d2,unbound_r2_d5,unbound_r2_d10,norm_bound_r1_d2,norm_bound_r1_d5,norm_bound_r1_d10,norm_bound_r2_d2,norm_bound_r2_d5,norm_bound_r2_d10,norm_unbound_r1_d2,norm_unbound_r1_d5,norm_unbound_r1_d10,norm_unbound_r2_d2,norm_unbound_r2_d5,norm_unbound_r2_d10,avg_enrichment_d2,avg_enrichment_d5,avg_enrichment_d10,domain1,domain2,d1_Gene,d1_Pathway,d1_Description,d2_Gene,d2_Pathway,d2_Description,d1_avg_d2,d1_sd_d2,d1_avg_d5,d1_sd_d5,d1_avg_d10,d1_sd_d10,d1_description,d2_avg_d2,d2_sd_d2,d2_avg_d5,d2_sd_d5,d2_avg_d10,d2_sd_d10,d2_description,composition,character,control,hit_gene,ctrl_character,order,hit_score_d2,hit_score_d5,hit_score_d10
Short_nuclear_domain;CXXC1_HUMAN;PHD;12;48 --- DMD_control_tiles;ENSG00000198947;;131;,1 control Pair,-1.4254520543274831,3.7266476183835566,-0.5649191274881783,0.4097257702202672,0.8557855259525701,2.6040204570843413,0.27129779223820033,0.929766971172917,0.403338906875822,0.5705266674986982,0.6440956728167178,0.8587527855275501,489,487,85,376,257,365,771,10,261,5,170,58,9.744708757657444e-6,2.2879133671033104e-5,5.0634151043102235e-6,1.2495186777619938e-5,2.5734538323884484e-5,2.6026406606058178e-5,2.6174156181359675e-5,1.7282511688162657e-6,7.490333165427423e-6,9.405957357151724e-6,1.4219989256379884e-5,4.280809911521564e-6,-0.5078631420536079,2.2912165721680635,1.0195506647980814,Short_nuclear_domain;CXXC1_HUMAN;PHD;12;48,DMD_control_tiles;ENSG00000198947;;131;,CXXC1,binds non-methylated CpGs; SETD1 complex member,NucDom Act,DMD,Dystrophin,Control,-1.1200785058067335,0.5623247886535916,2.3404888774403396,0.70456541198836,0.8372902131051576,0.9887205597956521,Activator,-0.6253140374813307,1.8433580970642491,0.186653940282749,1.6897052255789768,0.17492552064316244,0.8126013638877545,Control,A-C,Activator,DMD_control_tiles;ENSG00000198947;;131;,CXXC1,NucDom Act,H-C,-1.1200785058067335,2.3404888774403396,0.8372902131051576
DMD_control_tiles;ENSG00000198947;;131; --- Short_nuclear_domain;CXXC1_HUMAN;PHD;12;48,1 control Pair,-1.938480660806995,1.32408134957732,-2.5552133097315197,-1.7354721453196684,3.239374030958764,3.504837650122171,0.2069100635945867,0.7145902132541393,0.14540075260520938,0.2309530417193255,0.9042498037676356,0.9190395456835944,148,175,25,136,71,235,333,19,305,8,9,20,2.9493188059985716e-6,8.221454604580684e-6,1.4892397365618304e-6,4.519535642968913e-6,7.109541715936959e-6,1.6756727540886772e-5,1.130479119117091e-5,3.2836772207509044e-6,8.75307132358377e-6,1.5049531771442762e-5,7.528229606318761e-7,1.476141348800539e-6,-1.836976403063332,2.281727690268042,0.4748121701953256,DMD_control_tiles;ENSG00000198947;;131;,Short_nuclear_domain;CXXC1_HUMAN;PHD;12;48,DMD,Dystrophin,Control,CXXC1,binds non-methylated CpGs; SETD1 complex member,NucDom Act,-0.6253140374813307,1.8433580970642491,0.186653940282749,1.6897052255789768,0.17492552064316244,0.8126013638877545,Control,-1.1200785058067335,0.5623247886535916,2.3404888774403396,0.70456541198836,0.8372902131051576,0.9887205597956521,Activator,C-A,Activator,DMD_control_tiles;ENSG00000198947;;131;,CXXC1,NucDom Act,C-H,-1.1200785058067335,2.3404888774403396,0.8372902131051576
DMD_control_tiles;ENSG00000198947;;171; --- Short_nuclear_domain;CXXC1_HUMAN;PHD;12;48,1 control Pair,-1.9909480807011304,2.9073941130793837,-0.6504977214033032,-1.8935895401337932,3.434183917016234,0.3374809320635113,0.2010057798480385,0.8823891659318894,0.38914902416618186,0.21206274705656544,0.915320047665063,0.5582157650162484,228,276,182,259,614,531,532,10,593,17,68,406,4.543545187619421e-6,1.296640840493868e-5,1.0841665282170125e-5,8.607056849477563e-6,6.14825156842999e-5,3.786307372004628e-5,1.806050724835713e-5,1.7282511688162657e-6,1.7018266540607133e-5,3.1980255014315866e-5,5.687995702551952e-6,2.9965669380650947e-5,-1.942268810417462,3.170789015047809,-0.15650839466989594,DMD_control_tiles;ENSG00000198947;;171;,Short_nuclear_domain;CXXC1_HUMAN;PHD;12;48,DMD,Dystrophin,Control,CXXC1,binds non-methylated CpGs; SETD1 complex member,NucDom Act,-1.1898968669051047,1.4067056189843583,0.12790933398625176,1.8763235321755443,-0.09258047147934972,1.0065252054082343,Control,-1.1200785058067335,0.5623247886535916,2.3404888774403396,0.70456541198836,0.8372902131051576,0.9887205597956521,Activator,C-A,Activator,DMD_control_tiles;ENSG00000198947;;171;,CXXC1,NucDom Act,C-H,-1.1200785058067335,2.3404888774403396,0.8372902131051576
Short_nuclear_domain;CXXC1_HUMAN;PHD;12;48 --- DMD_control_tiles;ENSG00000198947;;171;,1 control Pair,-2.703460631142798,4.318505909144427,1.4858231935203634,-0.7910861205306682,1.0198815001281103,-2.405231856153855,0.13309155296363806,0.9522732596165068,0.736895375523017,0.3662498330073792,0.6697220020958897,0.15880056309531587,68,367,197,229,83,34,260,5,146,7,49,174,1.355092424377722e-6,1.7241564799320634e-5,1.1735209124107224e-5,7.610100457646185e-6,8.31115440032067e-6,2.424377601660214e-6,8.826563692806117e-6,8.641255844081327e-7,4.189994797518788e-6,1.3168340300012416e-5,4.098702785662436e-6,1.284242973456469e-5,-1.7472733758367331,2.669193704636269,-0.4597043313167458,Short_nuclear_domain;CXXC1_HUMAN;PHD;12;48,DMD_control_tiles;ENSG00000198947;;171;,CXXC1,binds non-methylated CpGs; SETD1 complex member,NucDom Act,DMD,Dystrophin,Control,-1.1200785058067335,0.5623247886535916,2.3404888774403396,0.70456541198836,0.8372902131051576,0.9887205597956521,Activator,-1.1898968669051047,1.4067056189843583,0.12790933398625176,1.8763235321755443,-0.09258047147934972,1.0065252054082343,Control,A-C,Activator,DMD_control_tiles;ENSG00000198947;;171;,CXXC1,NucDom Act,H-C,-1.1200785058067335,2.3404888774403396,0.8372902131051576
Short_nuclear_domain;CXXC1_HUMAN;PHD;12;48 --- DMD_control_tiles;ENSG00000198947;;176;,1 control Pair,-0.2101349460960183,2.5518475684560515,2.4607713144498775,-1.337508159399766,1.5814800077837563,-0.13605104794968642,0.46365062925002626,0.8543091160988622,0.8462746909708808,0.2835154612090133,0.7495471243928764,0.47644160632885174,377,151,183,112,75,146,256,7,69,5,30,155,7.512791823388254e-6,7.093940830238191e-6,1.0901234871632598e-5,3.721970529503811e-6,7.5100792773981965e-6,1.0410562642423271e-5,8.690770405224483e-6,1.209775818171386e-6,1.9802030207451807e-6,9.405957357151724e-6,2.5094098687729204e-6,1.144009545320418e-5,-0.7738215527478921,2.0666637881199037,1.1623601332500957,Short_nuclear_domain;CXXC1_HUMAN;PHD;12;48,DMD_control_tiles;ENSG00000198947;;176;,CXXC1,binds non-methylated CpGs; SETD1 complex member,NucDom Act,DMD,Dystrophin,Control,-1.1200785058067335,0.5623247886535916,2.3404888774403396,0.70456541198836,0.8372902131051576,0.9887205597956521,Activator,-1.172235300558768,1.5101404768789752,0.3992366741082033,1.9308518209506782,0.26522491290658756,0.9732676994777376,Control,A-C,Activator,DMD_control_tiles;ENSG00000198947;;176;,CXXC1,NucDom Act,H-C,-1.1200785058067335,2.3404888774403396,0.8372902131051576
DMD_control_tiles;ENSG00000198947;;176; --- Short_nuclear_domain;CXXC1_HUMAN;PHD;12;48,1 control Pair,-1.5656422459684598,2.550785591933392,1.2576098249655976,-1.2500453181494264,NA,5.442101894774209,0.2525193557835927,0.8542174727272528,0.7051011194146484,0.2959903131504362,NA,0.9775152718376128,141,388,182,119,NA,225,245,18,158,5,NA,5,2.8098239976067474e-6,1.8228139351870316e-5,1.0841665282170125e-5,3.954593687597799e-6,NA,1.6043675305104356e-5,8.317338864374995e-6,3.110852103869278e-6,4.5343779315614285e-6,9.405957357151724e-6,NA,3.6903533720013483e-7,-1.4078437820589431,NA,3.349855859869903,DMD_control_tiles;ENSG00000198947;;176;,Short_nuclear_domain;CXXC1_HUMAN;PHD;12;48,DMD,Dystrophin,Control,CXXC1,binds non-methylated CpGs; SETD1 complex member,NucDom Act,-1.172235300558768,1.5101404768789752,0.3992366741082033,1.9308518209506782,0.26522491290658756,0.9732676994777376,Control,-1.1200785058067335,0.5623247886535916,2.3404888774403396,0.70456541198836,0.8372902131051576,0.9887205597956521,Activator,C-A,Activator,DMD_control_tiles;ENSG00000198947;;176;,CXXC1,NucDom Act,C-H,-1.1200785058067335,2.3404888774403396,0.8372902131051576
Short_nuclear_domain;CXXC1_HUMAN;PHD;12;48 --- DMD_control_tiles;ENSG00000198947;;182;,1 control Pair,-2.7170253587246007,2.938421008700008,1.8275922580551776,-1.0895806459561803,0.859944454187156,0.4991420444581683,0.13201046402367156,0.884602758874233,0.7801928258510479,0.3196806584387893,0.6447562291664788,0.5856421344089651,114,141,342,133,47,158,440,5,200,5,31,108,2.2717725938097106e-6,6.624143424262151e-6,2.037279959616584e-5,4.4198400037857755e-6,4.7063163471695365e-6,1.126622532536217e-5,1.4937261633979582e-5,8.641255844081327e-7,5.739718900710669e-6,9.405957357151724e-6,2.5930568643986844e-6,7.971163283522911e-6,-1.9033030023403907,1.899182731443582,1.163367151256673,Short_nuclear_domain;CXXC1_HUMAN;PHD;12;48,DMD_control_tiles;ENSG00000198947;;182;,CXXC1,binds non-methylated CpGs; SETD1 complex member,NucDom Act,DMD,Dystrophin,Control,-1.1200785058067335,0.5623247886535916,2.3404888774403396,0.70456541198836,0.8372902131051576,0.9887205597956521,Activator,-1.5428431744782019,1.6056364381562986,0.8762928943141503,2.0056948135417882,-0.553527274281152,1.5334072129174576,Control,A-C,Activator,DMD_control_tiles;ENSG00000198947;;182;,CXXC1,NucDom Act,H-C,-1.1200785058067335,2.3404888774403396,0.8372902131051576
DMD_control_tiles;ENSG00000198947;;182; --- Short_nuclear_domain;CXXC1_HUMAN;PHD;12;48,1 control Pair,-4.377364902040207,NA,-2.3249156903097257,NA,NA,NA,0.04590636052897156,NA,0.16637924803796708,NA,NA,NA,5,NA,5,NA,NA,NA,61,NA,52,NA,NA,NA,9.96391488513031e-8,NA,2.978479473123661e-7,NA,NA,NA,2.0708476356198967e-6,NA,1.492326914184774e-6,NA,NA,NA,NA,NA,NA,DMD_control_tiles;ENSG00000198947;;182;,Short_nuclear_domain;CXXC1_HUMAN;PHD;12;48,DMD,Dystrophin,Control,CXXC1,binds non-methylated CpGs; SETD1 complex member,NucDom Act,-1.5428431744782019,1.6056364381562986,0.8762928943141503,2.0056948135417882,-0.553527274281152,1.5334072129174576,Control,-1.1200785058067335,0.5623247886535916,2.3404888774403396,0.70456541198836,0.8372902131051576,0.9887205597956521,Activator,C-A,Activator,DMD_control_tiles;ENSG00000198947;;182;,CXXC1,NucDom Act,C-H,-1.1200785058067335,2.3404888774403396,0.8372902131051576
DMD_control_tiles;ENSG00000198947;;251; --- Short_nuclear_domain;CXXC1_HUMAN;PHD;12;48,1 control Pair,0.05635763407722576,NA,-2.480382639058347,NA,6.046148274787201,-0.3342045910241656,0.5097647920610223,NA,0.1519651861394789,NA,0.9850924930470952,0.4423443588895101,62,NA,12,NA,276,78,35,NA,139,NA,5,95,1.2355254457561583e-6,NA,7.148350735496785e-7,NA,2.763709174082536e-5,5.561807439102844e-6,1.188191266339285e-6,NA,3.989104635993915e-6,NA,4.182349781288201e-7,7.011671406802561e-6,NA,NA,-1.4072936150412565,DMD_control_tiles;ENSG00000198947;;251;,Short_nuclear_domain;CXXC1_HUMAN;PHD;12;48,DMD,Dystrophin,Control,CXXC1,binds non-methylated CpGs; SETD1 complex member,NucDom Act,-0.9151563794344381,1.8045772052738573,0.6843711871945083,2.019850518637156,0.29129084873771066,1.0585850540393396,Control,-1.1200785058067335,0.5623247886535916,2.3404888774403396,0.70456541198836,0.8372902131051576,0.9887205597956521,Activator,C-A,Activator,DMD_control_tiles;ENSG00000198947;;251;,CXXC1,NucDom Act,C-H,-1.1200785058067335,2.3404888774403396,0.8372902131051576
Short_nuclear_domain;CXXC1_HUMAN;PHD;12;48 --- DMD_control_tiles;ENSG00000198947;;251;,1 control Pair,-1.643024777280824,3.003440800550418,-1.183443264356845,-1.3553294364870103,1.195421575476678,0.7467154043594018,0.24253009674318943,0.8891242242043569,0.3056999050873437,0.2810129126460453,0.6960594805367533,0.6265825758617848,114,295,14,177,44,99,209,10,66,8,23,57,2.2717725938097106e-6,1.3859023476293154e-5,8.33974252474625e-7,5.8820427118051304e-6,4.405913176073608e-6,7.059217134245916e-6,7.0951992761403015e-6,1.7282511688162657e-6,1.8941072372345209e-6,1.5049531771442762e-5,1.9238808993925724e-6,4.2070028440815365e-6,-1.4991771068839173,2.099431188013548,-0.21836392999872167,Short_nuclear_domain;CXXC1_HUMAN;PHD;12;48,DMD_control_tiles;ENSG00000198947;;251;,CXXC1,binds non-methylated CpGs; SETD1 complex member,NucDom Act,DMD,Dystrophin,Control,-1.1200785058067335,0.5623247886535916,2.3404888774403396,0.70456541198836,0.8372902131051576,0.9887205597956521,Activator,-0.9151563794344381,1.8045772052738573,0.6843711871945083,2.019850518637156,0.29129084873771066,1.0585850540393396,Control,A-C,Activator,DMD_control_tiles;ENSG00000198947;;251;,CXXC1,NucDom Act,H-C,-1.1200785058067335,2.3404888774403396,0.8372902131051576
Short_nuclear_domain;CXXC1_HUMAN;PHD;12;48 --- DMD_control_tiles;ENSG00000198947;;255;,1 control Pair,-1.4748244563079729,2.696482438321722,4.0360375615596995,-0.2683461348923705,0.9965175070626,-1.1416736909965053,0.26458538746294347,0.8663493814818791,0.9425442648884776,0.45363276286027354,0.6661300332189046,0.3118793224425119,532,930,735,282,105,76,868,39,93,6,63,162,1.0601605437778647e-5,4.369115875577164e-5,4.3783648254917815e-5,9.371390083214954e-6,1.0514110988357474e-5,5.419196991946361e-6,2.9467143405214266e-5,6.740179558383436e-6,2.668969288830461e-6,1.1287148828582071e-5,5.269760724423133e-6,1.1956744925284367e-5,-0.8715852956001716,1.846499972692161,1.447181935281597,Short_nuclear_domain;CXXC1_HUMAN;PHD;12;48,DMD_control_tiles;ENSG00000198947;;255;,CXXC1,binds non-methylated CpGs; SETD1 complex member,NucDom Act,DMD,Dystrophin,Control,-1.1200785058067335,0.5623247886535916,2.3404888774403396,0.70456541198836,0.8372902131051576,0.9887205597956521,Activator,-0.8724481765272949,1.7833766460024334,0.21691549812720454,1.851741460099468,0.7430361743220529,1.1800400260923025,Control,A-C,Activator,DMD_control_tiles;ENSG00000198947;;255;,CXXC1,NucDom Act,H-C,-1.1200785058067335,2.3404888774403396,0.8372902131051576
DMD_control_tiles;ENSG00000198947;;255; --- Short_nuclear_domain;CXXC1_HUMAN;PHD;12;48,1 control Pair,NA,NA,NA,NA,NA,2.172641219780982,NA,NA,NA,NA,NA,0.8184617273070525,NA,NA,NA,NA,NA,98,NA,NA,NA,NA,NA,21,NA,NA,NA,NA,NA,6.987911910667675e-6,NA,NA,NA,NA,NA,1.549948416240566e-6,NA,NA,NA,DMD_control_tiles;ENSG00000198947;;255;,Short_nuclear_domain;CXXC1_HUMAN;PHD;12;48,DMD,Dystrophin,Control,CXXC1,binds non-methylated CpGs; SETD1 complex member,NucDom Act,-0.8724481765272949,1.7833766460024334,0.21691549812720454,1.851741460099468,0.7430361743220529,1.1800400260923025,Control,-1.1200785058067335,0.5623247886535916,2.3404888774403396,0.70456541198836,0.8372902131051576,0.9887205597956521,Activator,C-A,Activator,DMD_control_tiles;ENSG00000198947;;255;,CXXC1,NucDom Act,C-H,-1.1200785058067335,2.3404888774403396,0.8372902131051576
Short_nuclear_domain;CXXC1_HUMAN;PHD;12;48 --- DMD_control_tiles;ENSG00000198947;;259;,1 control Pair,-1.9481407718575647,1.608463050554818,4.824654725778618,-0.8969355680137846,-1.2184953839082502,3.5109637529190127,0.20581343756902137,0.7530417967487162,0.9659142554844276,0.3493930113688581,0.300567562583469,0.9193549329422768,215,258,628,152,14,59,487,23,46,5,39,5,4.284483400606034e-6,1.212077307418181e-5,3.740970218243318e-5,5.051245718612315e-6,1.40188146511433e-6,4.207008191116253e-6,1.6532832763063765e-5,3.9749776882774105e-6,1.320135347163454e-6,9.405957357151724e-6,3.2622328294047965e-6,3.6903533720013483e-7,-1.4225381699356747,0.19498383332328395,4.1678092393488155,Short_nuclear_domain;CXXC1_HUMAN;PHD;12;48,DMD_control_tiles;ENSG00000198947;;259;,CXXC1,binds non-methylated CpGs; SETD1 complex member,NucDom Act,DMD,Dystrophin,Control,-1.1200785058067335,0.5623247886535916,2.3404888774403396,0.70456541198836,0.8372902131051576,0.9887205597956521,Activator,-0.7350694648386754,1.6730542782175972,-0.17515025624857342,1.8897090253838298,0.5311832241506199,1.085538831660686,Control,A-C,Activator,DMD_control_tiles;ENSG00000198947;;259;,CXXC1,NucDom Act,H-C,-1.1200785058067335,2.3404888774403396,0.8372902131051576
DMD_control_tiles;ENSG00000198947;;259; --- Short_nuclear_domain;CXXC1_HUMAN;PHD;12;48,1 control Pair,-3.1532195096000075,NA,NA,NA,NA,4.2430305476723795,0.10104698046032928,NA,NA,NA,NA,0.9498385234028844,9,NA,NA,NA,NA,98,47,NA,NA,NA,NA,5,1.793504679323456e-7,NA,NA,NA,NA,6.987911910667675e-6,1.5955711290841826e-6,NA,NA,NA,NA,3.6903533720013483e-7,NA,NA,NA,DMD_control_tiles;ENSG00000198947;;259;,Short_nuclear_domain;CXXC1_HUMAN;PHD;12;48,DMD,Dystrophin,Control,CXXC1,binds non-methylated CpGs; SETD1 complex member,NucDom Act,-0.7350694648386754,1.6730542782175972,-0.17515025624857342,1.8897090253838298,0.5311832241506199,1.085538831660686,Control,-1.1200785058067335,0.5623247886535916,2.3404888774403396,0.70456541198836,0.8372902131051576,0.9887205597956521,Activator,C-A,Activator,DMD_control_tiles;ENSG00000198947;;259;,CXXC1,NucDom Act,C-H,-1.1200785058067335,2.3404888774403396,0.8372902131051576
DMD_control_tiles;ENSG00000198947;;297; --- Short_nuclear_domain;CXXC1_HUMAN;PHD;12;48,1 control Pair,-0.2905975030982908,2.4276762592026455,0.3789962197381717,-1.484809664154844,2.286736742222624,1.627183678640136,0.4498128613232836,0.8432666089450822,0.5652999349949608,0.26324085310271517,0.829917844521757,0.7554470381331715,1734,1049,624,627,750,761,1245,53,996,31,184,238,3.4554856821631916e-5,4.92817478868865e-5,3.7171423824583285e-5,2.08363885892758e-5,7.510079277398196e-5,5.4263275143041846e-5,4.2265660759783134e-5,9.159731194726206e-6,2.858380012553913e-5,5.83169356143407e-5,1.539104719514058e-5,1.7566082050726416e-5,-0.8877035836265674,2.3572065007126346,1.0030899491891538,DMD_control_tiles;ENSG00000198947;;297;,Short_nuclear_domain;CXXC1_HUMAN;PHD;12;48,DMD,Dystrophin,Control,CXXC1,binds non-methylated CpGs; SETD1 complex member,NucDom Act,-1.1831573047758703,0.9185321342027783,0.8061162278645105,1.5733258119372076,0.20553806537429525,0.710506250278314,Control,-1.1200785058067335,0.5623247886535916,2.3404888774403396,0.70456541198836,0.8372902131051576,0.9887205597956521,Activator,C-A,Activator,DMD_control_tiles;ENSG00000198947;;297;,CXXC1,NucDom Act,C-H,-1.1200785058067335,2.3404888774403396,0.8372902131051576
Short_nuclear_domain;CXXC1_HUMAN;PHD;12;48 --- DMD_control_tiles;ENSG00000198947;;297;,1 control Pair,-0.6027579220150833,2.6655865988694747,0.8399207287086653,-0.8943493198621703,1.7341539661750447,1.256636042436118,0.397043321442012,0.863850224881382,0.6415708670786315,0.34980062222757236,0.7688846341123992,0.7049607501326649,829,1027,332,335,239,277,739,44,385,11,86,112,1.6520170879546052e-5,4.8248193593739214e-5,1.9777103701541106e-5,1.113267970878372e-5,2.393211929730892e-5,1.975154693117292e-5,2.5087809880706615e-5,7.604305142791568e-6,1.1048958883868036e-5,2.0693106185733797e-5,7.1936416238157045e-6,8.26639155328302e-6,-0.7485536209386268,2.1998702825222596,1.0482783855723916,Short_nuclear_domain;CXXC1_HUMAN;PHD;12;48,DMD_control_tiles;ENSG00000198947;;297;,CXXC1,binds non-methylated CpGs; SETD1 complex member,NucDom Act,DMD,Dystrophin,Control,-1.1200785058067335,0.5623247886535916,2.3404888774403396,0.70456541198836,0.8372902131051576,0.9887205597956521,Activator,-1.1831573047758703,0.9185321342027783,0.8061162278645105,1.5733258119372076,0.20553806537429525,0.710506250278314,Control,A-C,Activator,DMD_control_tiles;ENSG00000198947;;297;,CXXC1,NucDom Act,H-C,-1.1200785058067335,2.3404888774403396,0.8372902131051576
DMD_control_tiles;ENSG00000198947;;357; --- Short_nuclear_domain;CXXC1_HUMAN;PHD;12;48,1 control Pair,-1.5782507198768034,1.8371790131986905,0.6799466719181285,-1.82858154971115,2.091514020998347,-0.10816788778078831,0.2508733113851807,0.7813302736108346,0.6156921406686401,0.2196896004530385,0.8099564226609792,0.48126470917749264,352,1183,663,255,680,605,617,90,859,16,191,630,7.014596079131738e-6,5.5577033126965425e-5,3.949463781361974e-5,8.474129330566714e-6,6.809138544841031e-5,4.3139660264836154e-5,2.0946114609466824e-5,1.5554260519346388e-5,2.4652092678552323e-5,3.0099063542885523e-5,1.5976576164520927e-5,4.649845248721699e-5,-1.703416134793977,1.9643465170985188,0.2858893920686701,DMD_control_tiles;ENSG00000198947;;357;,Short_nuclear_domain;CXXC1_HUMAN;PHD;12;48,DMD,Dystrophin,Control,CXXC1,binds non-methylated CpGs; SETD1 complex member,NucDom Act,-1.2941287105750032,1.4626915884174774,0.005629607067988982,1.8135244458670914,-0.02710776026362247,0.7634265868057779,Control,-1.1200785058067335,0.5623247886535916,2.3404888774403396,0.70456541198836,0.8372902131051576,0.9887205597956521,Activator,C-A,Activator,DMD_control_tiles;ENSG00000198947;;357;,CXXC1,NucDom Act,C-H,-1.1200785058067335,2.3404888774403396,0.8372902131051576
Short_nuclear_domain;CXXC1_HUMAN;PHD;12;48 --- DMD_control_tiles;ENSG00000198947;;357;,1 control Pair,-1.9056031872068373,1.485506164920123,1.5016405381111655,-1.4805427891229297,1.2745022543623654,0.9678071698288386,0.210674669365493,0.7368527685360016,0.7390155055497808,0.2638148613167345,0.7075299400090782,0.661689614449836,863,1061,1120,710,679,992,1898,103,821,35,336,490,1.7197717091734915e-5,4.984550477405775e-5,6.671794019797e-5,2.3594634606675943e-5,6.7991251058045e-5,7.073478178961565e-5,6.443391495748465e-5,1.7800987038807535e-5,2.3561546087417297e-5,6.584170150006208e-5,2.810539053025671e-5,3.616546304561321e-5,-1.6930729881648836,1.3800042096412444,1.234723853970002,Short_nuclear_domain;CXXC1_HUMAN;PHD;12;48,DMD_control_tiles;ENSG00000198947;;357;,CXXC1,binds non-methylated CpGs; SETD1 complex member,NucDom Act,DMD,Dystrophin,Control,-1.1200785058067335,0.5623247886535916,2.3404888774403396,0.70456541198836,0.8372902131051576,0.9887205597956521,Activator,-1.2941287105750032,1.4626915884174774,0.005629607067988982,1.8135244458670914,-0.02710776026362247,0.7634265868057779,Control,A-C,Activator,DMD_control_tiles;ENSG00000198947;;357;,CXXC1,NucDom Act,H-C,-1.1200785058067335,2.3404888774403396,0.8372902131051576
Short_nuclear_domain;CXXC1_HUMAN;PHD;12;48 --- Random_control;;;124;,1 control Pair,-0.4317987819753734,3.5884033012715744,2.077286038989105,-1.6731878670653255,2.541753729468146,1.1540654905258416,0.42572858644058775,0.9232461000695272,0.8084337390268017,0.23870990625380237,0.8534361338787599,0.6899610561959748,1638,1416,614,426,394,463,1297,32,302,24,81,201,3.2641785163686897e-5,6.652331268620714e-5,3.6575727929958554e-5,1.4156780764005568e-5,3.9452949803931856e-5,3.301431851672585e-5,4.403097349834436e-5,5.53040374021205e-6,8.66697554007311e-6,4.5148595314328285e-5,6.775406645686885e-6,1.483522055544542e-5,-1.0524933245203496,3.06507851536986,1.615675764757473,Short_nuclear_domain;CXXC1_HUMAN;PHD;12;48,Random_control;;;124;,CXXC1,binds non-methylated CpGs; SETD1 complex member,NucDom Act,NA,Random,Control,-1.1200785058067335,0.5623247886535916,2.3404888774403396,0.70456541198836,0.8372902131051576,0.9887205597956521,Activator,-1.2258163849474977,1.5702283036841749,0.3435698141829356,1.8671623702147129,0.08361478349272544,0.7344925142335654,Control,A-C,Activator,Random_control;;;124;,CXXC1,NucDom Act,H-C,-1.1200785058067335,2.3404888774403396,0.8372902131051576
Random_control;;;124; --- Short_nuclear_domain;CXXC1_HUMAN;PHD;12;48,1 control Pair,-0.18636277946128743,2.382783305619657,0.6972677409636197,-1.219308641583816,1.9106396719021943,-0.5620723133316092,0.4677506232649013,0.8391098144367352,0.6185289817108328,0.3004490695880673,0.7899052698355326,0.403813875714178,1301,825,489,389,625,577,869,43,626,16,199,823,2.5926106531109067e-5,3.8758285993023226e-5,2.91295292471494e-5,1.29272012140802e-5,6.258399397831831e-5,4.1143114004645394e-5,2.9501091727109673e-5,7.431480025909942e-6,1.7965320159224393e-5,3.0099063542885523e-5,1.664575212952704e-5,6.074321650314219e-5,-0.7028357105225517,2.1467114887609258,0.06759771381600521,Random_control;;;124;,Short_nuclear_domain;CXXC1_HUMAN;PHD;12;48,NA,Random,Control,CXXC1,binds non-methylated CpGs; SETD1 complex member,NucDom Act,-1.2258163849474977,1.5702283036841749,0.3435698141829356,1.8671623702147129,0.08361478349272544,0.7344925142335654,Control,-1.1200785058067335,0.5623247886535916,2.3404888774403396,0.70456541198836,0.8372902131051576,0.9887205597956521,Activator,C-A,Activator,Random_control;;;124;,CXXC1,NucDom Act,C-H,-1.1200785058067335,2.3404888774403396,0.8372902131051576
Random_control;;;205; --- Short_nuclear_domain;CXXC1_HUMAN;PHD;12;48,1 control Pair,-0.4575702417025626,2.4591513939890506,0.26276346679906215,-1.1015102432995798,2.7415153224228823,-0.21406755643936773,0.4213671741540392,0.8461285591735751,0.5454079829180258,0.3178849704398785,0.8699224904552881,0.4629728290248392,2594,2650,1104,1108,1581,945,2091,131,1910,42,283,1059,5.169279042405605e-5,1.2449631258365035e-4,6.576482676657042e-5,3.682092273830556e-5,1.5831247116755397e-4,6.738343628143829e-5,7.098594108329842e-5,2.2640090311493076e-5,5.481431550178689e-5,7.90100418000745e-5,2.3672099762091217e-5,7.816168441898855e-5,-0.7795402425010712,2.6003333582059662,0.02434795517984721,Random_control;;;205;,Short_nuclear_domain;CXXC1_HUMAN;PHD;12;48,NA,Random,Control,CXXC1,binds non-methylated CpGs; SETD1 complex member,NucDom Act,-1.3734530995244667,1.2911184190425231,-0.16366421890372546,1.738419130885381,-0.04995386482655279,0.6804343181616458,Control,-1.1200785058067335,0.5623247886535916,2.3404888774403396,0.70456541198836,0.8372902131051576,0.9887205597956521,Activator,C-A,Activator,Random_control;;;205;,CXXC1,NucDom Act,C-H,-1.1200785058067335,2.3404888774403396,0.8372902131051576
